"replicate","method","converged","beta_intercept","beta_intercept_gap_vs_reference","beta_x1","beta_x1_gap_vs_reference","delta","delta_gap_vs_reference","b","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","beta_intercept_error_vs_truth","beta_x1_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
4,"spline",TRUE,-0.242099150840373,0.0260005890716991,0.922416929341617,-0.0409147953988136,7.00503397678698,0.186291382903272,0.3827841741527,0.0645120882576808,1.00503397678698,0.0327841741526999,0.107900849159627,0.022416929341617,0.573714116481398,0.328664470092035
4,"chebyshev",TRUE,-0.242563190497565,0.0255365494145072,0.92394660830877,-0.0393851164316609,7.00885461048997,0.190112016606262,0.38033293595001,0.0620608500549908,1.00885461048997,0.0303329359500099,0.107436809502435,0.0239466083087697,0.548835601518675,0.31441227775093
5,"reference",TRUE,-0.326685809260782,0,0.757764627764458,0,5.74242761357386,0,0.268867910622648,0,-0.257572386426141,-0.0811320893773519,0.0233141907392179,-0.142235372235542,0,0
5,"spline",TRUE,-0.326540135905856,0.000145673354926268,0.757520127850622,-0.00024449991383646,5.74169074471002,-0.000736868863841167,0.271519757291286,0.00265184666863844,-0.258309255289982,-0.0784802427087135,0.0234598640941441,-0.142479872149378,0.000638354401814922,0.000488165498183732
5,"chebyshev",TRUE,-0.325943129445819,0.000742679814963176,0.755289593526781,-0.00247503423767725,5.73525723317403,-0.00717038039982665,0.281942730401176,0.0130748197785278,-0.264742766825967,-0.0680572695988241,0.024056870554181,-0.144710406473219,0.0154858142068406,0.0118423875288868
6,"reference",TRUE,-0.532156579745687,0,1.06972124725771,0,5.98012919742103,0,0.411827499206818,0,-0.0198708025789722,0.061827499206818,-0.182156579745687,0.169721247257707,0,0
6,"spline",FALSE,-0.545542777299814,-0.0133861975541274,1.08817907668673,0.0184578294290254,5.98227539235661,0.00214619493558654,0.448355436990692,0.0365279377838739,-0.0177246076433857,0.0983554369906919,-0.195542777299814,0.188179076686733,0.166740106586815,0.107587362774481
6,"chebyshev",TRUE,-0.54901074836061,-0.0168541686149236,1.09359025750814,0.0238690102504331,5.98621073831231,0.00608154089128199,0.448975270512523,0.0371477713057052,-0.0137892616876902,0.0989752705125232,-0.19901074836061,0.19359025750814,0.186244785700381,0.12017255916512
7,"reference",TRUE,-0.460820181590879,0,1.0942273785375,0,6.83057514622325,0,0.481473137427513,0,0.830575146223254,0.131473137427513,-0.110820181590879,0.194227378537499,0,0
7,"spline",TRUE,-0.46047487045628,0.000345311134599235,1.09178812211867,-0.00243925641883047,6.86446310326371,0.0338879570404584,0.489593867974475,0.00812073054696155,0.864463103263712,0.139593867974475,-0.11047487045628,0.191788122118668,0.0115396564518733,0.00647509107668997
7,"chebyshev",TRUE,-0.461232199713843,-0.000412018122963709,1.09284838689217,-0.00137899164533017,6.8644881261674,0.0339129799441427,0.490293751671983,0.00882061424447006,0.864488126167396,0.140293751671983,-0.111232199713843,0.192848386892169,0.0126818780812243,0.00711601042386973
8,"reference",TRUE,-0.250117010658896,0,0.728193093289386,0,4.38754547737899,0,0.405087983304145,0,-1.61245452262101,0.0550879833041453,0.0998829893411037,-0.171806906710614,0,0
8,"spline",TRUE,-0.244809462554581,0.00530754810431575,0.688995294493631,-0.0391977987957548,4.27285583102247,-0.114689646356515,0.431391488076512,0.0263035047723664,-1.72714416897753,0.0813914880765116,0.105190537445419,-0.211004705506369,0.212515975869081,0.214320535453189
8,"chebyshev",TRUE,-0.243172869245916,0.00694414141298047,0.693693306625203,-0.0344997866641823,4.33447663615834,-0.0530688412206493,0.428288205926109,0.0232002226219637,-1.66552336384166,0.078288205926109,0.106827130754084,-0.206306693374797,0.113334427653641,0.114296796373429
9,"reference",TRUE,-0.473799883425447,0,1.18659794849227,0,5.84041190543748,0,0.354306343058312,0,-0.159588094562516,0.00430634305831162,-0.123799883425447,0.286597948492271,0,0
9,"spline",TRUE,-0.468349585295977,0.00545029812947012,1.1696741629664,-0.0169237855258664,5.90525616483367,0.0648442593961844,0.358155590816105,0.00384924775779349,-0.0947438351663319,0.00815559081610512,-0.118349585295977,0.269674162966404,0.0399375631743624,0.0267010781866039
9,"chebyshev",TRUE,-0.468616801386275,0.00518308203917245,1.17085707764522,-0.0157408708470501,5.90824543969179,0.0678335342543033,0.360621053671311,0.0063147106129996,-0.0917545603082131,0.0106210536713112,-0.118616801386275,0.270857077645221,0.044039632558821,0.0294436009309965
10,"reference",TRUE,-0.388091574213175,0,0.896103962838192,0,6.31014415900847,0,0.378238930643516,0,0.310144159008471,0.028238930643516,-0.0380915742131754,-0.00389603716180842,0,0
10,"spline",TRUE,-0.379606990685024,0.00848458352815107,0.861851336249502,-0.0342526265886893,6.30190573358997,-0.00823842541849729,0.393433099618173,0.0151941689746572,0.301905733589974,0.0434330996181732,-0.0296069906850243,-0.0381486637504977,0.0862574272900076,0.055509253552474
10,"chebyshev",TRUE,-0.381404914106843,0.00668666010633256,0.863994758786499,-0.0321092040516923,6.30110156243526,-0.00904259657321216,0.394111453705018,0.0158725230615024,0.301101562435259,0.0441114537050184,-0.0314049141068428,-0.0360052412135007,0.0862858858369577,0.0555275674849435
11,"reference",FALSE,-0.247958651621936,0,0.977964109025579,0,6.99997109695443,0,0.256687241564292,0,0.999971096954429,-0.0933127584357077,0.102041348378064,0.0779641090255794,0,0
11,"spline",TRUE,-0.25195823630975,-0.00399958468781331,0.994620616260391,0.0166565072348116,6.94182713678945,-0.0581439601649771,0.269404456296535,0.012717214732243,0.941827136789452,-0.0805955437034648,0.0980417636902504,0.094620616260391,0.0124083842191283,0.00680314773237838
11,"chebyshev",TRUE,-0.251868364535756,-0.00390971291381986,0.994581321981787,0.0166172129562078,6.9387879810779,-0.0611831158765286,0.268521354083305,0.011834112519013,0.9387879810779,-0.0814786459166948,0.0981316354642439,0.0945813219817871,0.00846172605545803,0.00463931253333165
12,"reference",TRUE,-0.248308236907597,0,0.799470633877567,0,6.12346098666797,0,0.237024625133327,0,0.123460986667969,-0.112975374866673,0.101691763092403,-0.100529366122433,0,0
12,"spline",TRUE,-0.247723795844214,0.000584441063382818,0.79754741581961,-0.00192321805795637,6.1579870291533,0.0345260424853322,0.252394714043917,0.0153700889105899,0.157987029153301,-0.0976052859560829,0.102276204155786,-0.10245258418039,0.0421891965106624,0.0287310702180966
12,"chebyshev",TRUE,-0.247075489740093,0.00123274716750368,0.795587930738488,-0.0038827031390789,6.15527211027571,0.0318111236077439,0.257032254330673,0.0200076291973454,0.155272110275713,-0.0929677456693274,0.102924510259907,-0.104412069261512,0.0657318553757023,0.0447637477970878
13,"reference",TRUE,-0.384384461865718,0,0.878551755540235,0,6.74687769949791,0,0.343001937483295,0,0.746877699497908,-0.00699806251670521,-0.0343844618657179,-0.0214482444597649,0,0
13,"spline",TRUE,-0.380054244959139,0.00433021690657898,0.869846885319871,-0.00870487022036426,6.81459152922984,0.0677138297319271,0.352370139869254,0.00936820238595876,0.814591529229835,0.00237013986925355,-0.0300542449591389,-0.0301531146801292,0.0486854917554922,0.0275916631685971
13,"chebyshev",TRUE,-0.380686880993149,0.00369758087256844,0.870243939434239,-0.00830781610599562,6.81262181807363,0.0657441185757248,0.355650976944391,0.0126490394610961,0.812621818073633,0.00565097694439087,-0.0306868809931495,-0.0297560605657605,0.0512555955464506,0.0290482251863867
14,"reference",TRUE,-0.39975335380766,0,1.30076318847654,0,6.98250930849706,0,0.365244235206758,0,0.98250930849706,0.0152442352067582,-0.0497533538076597,0.400763188476535,0,0
