"x","q","t","value","nu","backend"
-1,22.9166666666667,0.208333333333333,-0.0714522619170512,6,"series_reference"
-0.5,22.9166666666667,0.208333333333333,-0.0713096232483853,6,"series_reference"
0,22.9166666666667,0.208333333333333,-0.0645276338121723,6,"series_reference"
0.5,22.9166666666667,0.208333333333333,-0.0528111293614092,6,"series_reference"
1,22.9166666666667,0.208333333333333,-0.0377306637428464,6,"series_reference"
1.5,22.9166666666667,0.208333333333333,-0.0208323469079149,6,"series_reference"
2,22.9166666666667,0.208333333333333,-0.00371859236190375,6,"series_reference"
2.5,22.9166666666667,0.208333333333333,0.0120738451818436,6,"series_reference"
3,22.9166666666667,0.208333333333333,0.0253852892947873,6,"series_reference"
3.5,22.9166666666667,0.208333333333333,0.035699322557225,6,"series_reference"
4,22.9166666666667,0.208333333333333,0.0431363208811362,6,"series_reference"
-4,25,0.208333333333333,0.0963102896970573,6,"series_reference"
-3.5,25,0.208333333333333,0.0520817657900873,6,"series_reference"
-3,25,0.208333333333333,0.0105872674052762,6,"series_reference"
-2.5,25,0.208333333333333,-0.0248536492022145,6,"series_reference"
-2,25,0.208333333333333,-0.051578903446881,6,"series_reference"
-1.5,25,0.208333333333333,-0.0684243364602604,6,"series_reference"
-1,25,0.208333333333333,-0.0758190298867974,6,"series_reference"
-0.5,25,0.208333333333333,-0.0751884065938253,6,"series_reference"
0,25,0.208333333333333,-0.0682389301468466,6,"series_reference"
0.5,25,0.208333333333333,-0.0565568569926116,6,"series_reference"
1,25,0.208333333333333,-0.0415636964270076,6,"series_reference"
1.5,25,0.208333333333333,-0.024657931519986,6,"series_reference"
2,25,0.208333333333333,-0.00733206749047222,6,"series_reference"
2.5,25,0.208333333333333,0.00890535866704167,6,"series_reference"
3,25,0.208333333333333,0.0228245533038137,6,"series_reference"
3.5,25,0.208333333333333,0.0337832606894641,6,"series_reference"
4,25,0.208333333333333,0.0417921548637018,6,"series_reference"
-4,0,0.416666666666667,0.644264747333715,6,"series_reference"
-3.5,0,0.416666666666667,0.53677145051783,6,"series_reference"
-3,0,0.416666666666667,0.424750977005554,6,"series_reference"
-2.5,0,0.416666666666667,0.31252306876818,6,"series_reference"
-2,0,0.416666666666667,0.2065512754851,6,"series_reference"
-1.5,0,0.416666666666667,0.115428752969601,6,"series_reference"
-1,0,0.416666666666667,0.0487180228791099,6,"series_reference"
-0.5,0,0.416666666666667,0.0139648999038127,6,"series_reference"
0,0,0.416666666666667,0.012523886614548,6,"series_reference"
0.5,0,0.416666666666667,0.0372819219846143,6,"series_reference"
1,0,0.416666666666667,0.0754411719266351,6,"series_reference"
1.5,0,0.416666666666667,0.114742181315841,6,"series_reference"
2,0,0.416666666666667,0.147844489160479,6,"series_reference"
2.5,0,0.416666666666667,0.17251004407948,6,"series_reference"
3,0,0.416666666666667,0.189517671558164,6,"series_reference"
3.5,0,0.416666666666667,0.200684613939017,6,"series_reference"
4,0,0.416666666666667,0.207795784290602,6,"series_reference"
-4,2.08333333333333,0.416666666666667,0.613647243035493,6,"series_reference"
-3.5,2.08333333333333,0.416666666666667,0.501330259803984,6,"series_reference"
-3,2.08333333333333,0.416666666666667,0.384406693314472,6,"series_reference"
-2.5,2.08333333333333,0.416666666666667,0.267763183850065,6,"series_reference"
-2,2.08333333333333,0.416666666666667,0.158692252936706,6,"series_reference"
-1.5,2.08333333333333,0.416666666666667,0.0666523659528102,6,"series_reference"
-1,2.08333333333333,0.416666666666667,0.00158937937930204,6,"series_reference"
-0.5,2.08333333333333,0.416666666666667,-0.0294862131935746,6,"series_reference"
0,2.08333333333333,0.416666666666667,-0.0262906456905725,6,"series_reference"
0.5,2.08333333333333,0.416666666666667,0.00348918949559085,6,"series_reference"
1,2.08333333333333,0.416666666666667,0.0471856661229514,6,"series_reference"
1.5,2.08333333333333,0.416666666666667,0.0924986627857151,6,"series_reference"
2,2.08333333333333,0.416666666666667,0.131467905260415,6,"series_reference"
