"x","q","t","reference","surrogate","value_error","grad_error","hess_error","region","q_low_cut","t_high_cut"
-3.75,0.25,1.48,2.17430247881351,2.18575297300373,0.0114504941902198,0.26787060916621,1.93857761461491,"low_separation",5,1.875
-2.5,0.25,1.48,1.3354848389169,1.31519817635457,0.0202866625623284,0.191391989568127,1.41851620905971,"low_separation",5,1.875
-1.25,0.25,1.48,0.691877143373993,0.710605760018989,0.0187286166449968,0.106692633967786,1.31108886983326,"low_separation",5,1.875
0,0.25,1.48,0.400688756978353,0.408521657020309,0.0078329000419568,0.0265225249048571,0.265013669561509,"low_separation",5,1.875
1.25,0.25,1.48,0.608512995973677,0.606572722797069,0.00194027317660794,0.0117996871029642,0.0999875420991215,"low_separation",5,1.875
2.5,0.25,1.48,1.15158392347546,1.15206929602028,0.000485372544820839,0.0105893719811828,0.0759055260609186,"low_separation",5,1.875
3.75,0.25,1.48,1.61191384942856,1.61419906304045,0.00228521361188916,0.014157122633016,0.118813581199132,"low_separation",5,1.875
-3.75,5.15,1.48,1.2544623388741,1.24390086539088,0.0105614734832129,0.0502956564425192,0.832311629964384,"transition",5,1.875
-2.5,5.15,1.48,-0.02725475394484,-0.0323495936594176,0.00509483971457764,0.0491489555429836,0.320626431513542,"transition",5,1.875
-1.25,5.15,1.48,-1.11076322385667,-1.11115035466277,0.000387130806101199,0.00347928098801698,0.086947055225484,"transition",5,1.875
0,5.15,1.48,-1.36774309165183,-1.36764032391388,0.000102767737952592,0.0010337422232495,0.00828465180753262,"transition",5,1.875
1.25,5.15,1.48,-0.572985168365665,-0.573048651388791,6.34830231267536e-05,0.00142110468031145,0.0109452049624827,"transition",5,1.875
2.5,5.15,1.48,0.603984655041454,0.604138067252926,0.000153412211472359,0.00268436288885805,0.0181490143277771,"transition",5,1.875
3.75,5.15,1.48,1.41027503434785,1.41124300842368,0.000967974075822386,0.00398631895097598,0.0512120045287709,"transition",5,1.875
-3.75,10.05,1.48,0.45791716770263,0.461006132540773,0.00308896483814369,0.0131379966456105,0.394449664253385,"transition",5,1.875
-2.5,10.05,1.48,-1.07746533663426,-1.07658797589597,0.000877360738292143,0.00410673036135278,0.0692913542296496,"transition",5,1.875
-1.25,10.05,1.48,-2.24319256418778,-2.2433345451034,0.000141980915612905,0.00125949949454769,0.00680986191886473,"transition",5,1.875
0,10.05,1.48,-2.40292934344417,-2.40332811898088,0.000398775536700313,0.00272353102073073,0.0157379269731055,"transition",5,1.875
1.25,10.05,1.48,-1.4149987198486,-1.41462721727278,0.000371502575828409,0.00419249840948372,0.0140966691181741,"transition",5,1.875
2.5,10.05,1.48,0.0859545379068782,0.085557532109769,0.000397005797109218,0.00613281853171945,0.0137261681668937,"transition",5,1.875
3.75,10.05,1.48,1.186883063515,1.18508461184052,0.00179845167447334,0.00339907019725634,0.0725842144973087,"transition",5,1.875
-3.75,14.95,1.48,-0.24939028771822,-0.252231292721126,0.00284100500290652,0.018623820394179,0.153341154973282,"transition",5,1.875
-2.5,14.95,1.48,-1.89928987181084,-1.90090505687101,0.00161518506016933,0.00344480462468679,0.0541390233257287,"transition",5,1.875
-1.25,14.95,1.48,-3.02735903270558,-3.02697830881825,0.00038072388733168,0.00184888746218846,0.0173669517565091,"transition",5,1.875
0,14.95,1.48,-3.09506693663115,-3.09491271067795,0.000154225953201692,0.000958119606498882,0.00829386656987366,"transition",5,1.875
1.25,14.95,1.48,-2.0512756328111,-2.05099870101118,0.000276931799917168,0.0033770624186775,0.0111495595279668,"transition",5,1.875
2.5,14.95,1.48,-0.397136717455663,-0.397674550107414,0.000537832651751335,0.00684481174107063,0.00888605938013649,"transition",5,1.875
