"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"spline",1.09816289906817,0.248513435212073,-0.0260968029911155,0.0146918867657536,-0.101837100931828,-0.0514865647879271,11.4447710704553,0.0425483866164944,0.21999999999997,TRUE,11,11,34
"chebyshev",1.09818676792317,0.248463607474942,-0.0260729341361214,0.0146420590286222,-0.101813232076834,-0.0515363925250585,11.3362004024093,0.0421447519146035,0.32000000000005,TRUE,11,11,34
"reference",1.17235434760553,0.288949192014382,0,0,-0.0276456523944675,-0.0110508079856185,0,0,8.07999999999998,TRUE,10,10,35
"spline",1.18017011970926,0.287591930375828,0.0078157721037313,-0.00135726163855338,-0.0198298802907362,-0.0124080696241718,0.457097920778324,0.00141176962049175,0.199999999999989,TRUE,11,11,35
"chebyshev",1.18042549495043,0.287472922119041,0.00807114734489511,-0.00147626989534083,-0.0195745050495724,-0.0125270778809593,0.456485768831044,0.00140987895881291,0.310000000000002,TRUE,11,11,35
"reference",1.10040505277556,0.280720807589935,0,0,-0.0995949472244406,-0.0192791924100645,0,0,8.67000000000002,TRUE,11,11,36
"spline",1.10751111807938,0.279768259297028,0.00710606530382329,-0.000952548292907585,-0.0924888819206173,-0.0202317407029721,0.499383004262199,0.00167886568416841,0.170000000000016,TRUE,10,10,36
"chebyshev",1.10743975056262,0.279739027756708,0.00703469778705568,-0.000981779833227947,-0.0925602494373849,-0.0202609722432925,0.473329748481774,0.00159127776724432,0.28000000000003,TRUE,11,11,36
"reference",1.06696453037773,0.369806050254563,0,0,-0.133035469622269,0.0698060502545634,0,0,20.51,TRUE,26,26,37
"spline",1.08639328312217,0.360817633930852,0.0194287527444388,-0.00898841632371139,-0.11360671687783,0.060817633930852,1.36700452034711,0.00398475385565907,0.45999999999998,TRUE,26,26,37
"chebyshev",1.08636642862158,0.360824581628956,0.0194018982438482,-0.00898146862560711,-0.11363357137842,0.0608245816289563,1.36148143845639,0.00396865433182315,1.27999999999997,TRUE,51,51,37
"reference",1.0455039398956,0.333278164780793,0,0,-0.154496060104399,0.0332781647807927,0,0,37.84,TRUE,46,46,38
"spline",1.04310712924737,0.33673985220195,-0.00239681064823527,0.00346168742115743,-0.156892870752635,0.0367398522019501,0.434914787256275,0.00133699689345812,0.269999999999982,TRUE,13,13,38
