"replicate","method","delta","b","converged","delta_gap_vs_reference","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
40,"chebyshev",5.88228229773502,0.398411832140886,TRUE,0.0919690430159923,0.0689334398637102,-0.117717702264982,0.0484118321408864,0.638202045580556,0.475338799130725
41,"reference",7.21237608952727,0.283617380174159,TRUE,0,0,1.21237608952727,-0.0663826198258414,0,0
41,"spline",7.26562220801295,0.290854762555454,TRUE,0.0532461184856849,0.00723738238129529,1.26562220801295,-0.0591452374445461,0.0192239918014252,0.0105461472696819
41,"chebyshev",7.26881850184412,0.290970473515319,TRUE,0.0564424123168488,0.00735309334116085,1.26881850184412,-0.0590295264846806,0.0206474915952413,0.0113270692872846
42,"reference",7.07477918423705,0.334074604186382,TRUE,0,0,1.07477918423705,-0.0159253958136181,0,0
42,"spline",7.09140937207765,0.356995585250856,TRUE,0.016630187840601,0.0229209810644739,1.09140937207765,0.00699558525085581,0.0493945292681701,0.0291329562697063
42,"chebyshev",7.09799480186047,0.355957835113309,TRUE,0.0232156176234275,0.0218832309269273,1.09799480186047,0.00595783511330916,0.0468608477094108,0.0276385876595318
43,"reference",6.75213720460949,0.295177981146797,TRUE,0,0,0.752137204609489,-0.0548220188532034,0,0
43,"spline",6.81046419693943,0.296010331458457,TRUE,0.0583269923299436,0.00083235031166079,0.810464196939432,-0.0539896685415426,0.0106669271439159,0.00647588189539292
43,"chebyshev",6.80647683699315,0.29968504520471,TRUE,0.0543396323836607,0.00450706405791335,0.806476836993149,-0.0503149547952901,0.012948223942999,0.00786085513462857
44,"reference",5.42242572788401,0.317621899047351,TRUE,0,0,-0.577574272115985,-0.0323781009526493,0,0
44,"spline",5.3968992685186,0.322109070508288,TRUE,-0.0255264593654125,0.0044871714609368,-0.603100731481398,-0.0278909294917125,0.00489955201393855,0.00393215996063684
44,"chebyshev",5.40073695477107,0.318439580963715,TRUE,-0.0216887731129454,0.000817681916364721,-0.59926304522893,-0.0315604190362845,0.00213756380371422,0.00171551251591163
45,"reference",5.53375042527082,0.523560265741733,FALSE,0,0,-0.466249574729185,0.173560265741733,0,0
45,"spline",5.50640307987667,0.563848245155716,TRUE,-0.027347345394146,0.0402879794139837,-0.493596920123331,0.213848245155716,0.0885847919054754,0.0661425341610245
45,"chebyshev",5.5125602098093,0.560931090431062,TRUE,-0.0211902154615187,0.0373708246893296,-0.487439790190703,0.210931090431062,0.0788717125787741,0.0588901868070836
46,"reference",5.01012502993906,0.373352578643564,TRUE,0,0,-0.989874970060935,0.023352578643564,0,0
46,"spline",4.90264363364166,0.390245720053441,TRUE,-0.107481396297401,0.0168931414098772,-1.09735636635834,0.0402457200534412,0.0777036182938531,0.0702976377510235
46,"chebyshev",4.90690056062875,0.390449426274988,TRUE,-0.103224469310319,0.0170968476314243,-1.09309943937125,0.0404494262749883,0.07370021298388,0.0666757995093765
47,"reference",6.88368652036401,0.315234180703547,TRUE,0,0,0.883686520364014,-0.034765819296453,0,0
47,"spline",6.91777116747649,0.353706202054955,TRUE,0.0340846471124756,0.0384720213514075,0.91777116747649,0.00370620205495453,0.153740172286717,0.0922381266002463
47,"chebyshev",6.91324251498149,0.356393828698567,TRUE,0.0295559946174713,0.0411596479950199,0.913242514981485,0.00639382869856686,0.172424709975616,0.103448122837284
48,"reference",6.81420434219609,0.202905652421403,TRUE,0,0,0.814204342196088,-0.147094347578597,0,0
48,"spline",6.88814035836412,0.251452324090084,TRUE,0.0739360161680311,0.0485466716686809,0.888140358364119,-0.0985476759099157,0.357899233845643,0.226812062996439
48,"chebyshev",6.8923363834212,0.245835585537883,TRUE,0.0781320412251079,0.0429299331164791,0.892336383421195,-0.104164414462117,0.289948841384501,0.183749750373059
49,"reference",5.9863606806141,0.228323552621947,TRUE,0,0,-0.0136393193859039,-0.121676447378053,0,0
49,"spline",5.99367921477095,0.243505023499809,TRUE,0.00731853415685535,0.0151814708778618,-0.00632078522904855,-0.106494976500191,0.0352141462340967,0.0262096661149647
49,"chebyshev",5.99885065788585,0.237185519769903,TRUE,0.0124899772717511,0.00886196714795626,-0.00114934211415285,-0.112814480230097,0.0131643417513203,0.00979813622717654
50,"reference",6.4240663516826,0.358130483538266,TRUE,0,0,0.424066351682598,0.00813048353826579,0,0
50,"spline",6.36131414496156,0.370169069157089,TRUE,-0.0627522067210391,0.0120385856188231,0.361314144961559,0.0201690691570889,0.0312289823218919,0.0203118944391461
50,"chebyshev",6.35743042938929,0.37577323504192,TRUE,-0.0666359222933046,0.0176427515036545,0.357430429389294,0.0257732350419203,0.0546710135177193,0.0355590151483929
