"x","q","t","region","q_low_cut","t_high_cut","series_reference","geomodels_reference","abs_diff","rel_diff"
1.25,5.15,1.94,"high_dependence",5,1.875,-1.77597970259687,-1.77596848738204,1.12152148279421e-05,6.31494538566122e-06
2.5,5.15,1.94,"high_dependence",5,1.875,0.145520092183832,0.145520144123056,5.19392244768824e-08,5.19392244768824e-08
3.75,5.15,1.94,"high_dependence",5,1.875,1.63493076252627,1.63493076283775,3.11478842718316e-10,1.9051500519632e-10
-3.75,10.05,1.94,"high_dependence",5,1.875,-1.08277435403274,-0.93353427188978,0.149240082142963,0.137831194086862
-2.5,10.05,1.94,"high_dependence",5,1.875,-3.02567813972344,-3.00097414298907,0.0247039967343738,0.0081647801231865
-1.25,10.05,1.94,"high_dependence",5,1.875,-4.50438236353924,-4.50353330884481,0.000849054694422868,0.000188495253266141
0,10.05,1.94,"high_dependence",5,1.875,-4.67166916627087,-4.67165777785047,1.13884204022696e-05,2.43776260624216e-06
1.25,10.05,1.94,"high_dependence",5,1.875,-3.27024718705588,-3.2702469409998,2.46056078623269e-07,7.52408195922301e-08
2.5,10.05,1.94,"high_dependence",5,1.875,-0.919460539218456,-0.91946053302846,6.1899960712708e-09,6.1899960712708e-09
3.75,10.05,1.94,"high_dependence",5,1.875,1.11792930151804,1.11792930169908,1.81035630930637e-10,1.61938353959242e-10
-3.75,14.95,1.94,"high_dependence",5,1.875,-2.10311501419931,-2.07090753405591,0.0322074801433949,0.0153141791703945
-2.5,14.95,1.94,"high_dependence",5,1.875,-4.21208430877308,-4.20851354787712,0.00357076089596031,0.000847742028459166
-1.25,14.95,1.94,"high_dependence",5,1.875,-5.60919938463101,-5.60914873993295,5.06446980539366e-05,9.0288639396027e-06
0,14.95,1.94,"high_dependence",5,1.875,-5.67204876216494,-5.67204829906454,4.63100399805683e-07,8.16460540492469e-08
1.25,14.95,1.94,"high_dependence",5,1.875,-4.27383103014208,-4.27383101542675,1.47153276230938e-08,3.44312339896241e-09
2.5,14.95,1.94,"high_dependence",5,1.875,-1.80617047922768,-1.80617047812656,1.10111741946639e-09,6.0964202002528e-10
3.75,14.95,1.94,"high_dependence",5,1.875,0.591872951186305,0.59187295128495,9.86446480055747e-11,9.86446480055747e-11
-3.75,19.85,1.94,"high_dependence",5,1.875,-3.00274218158338,-2.99291449816189,0.00982768342149143,0.00327290284253082
-2.5,19.85,1.94,"high_dependence",5,1.875,-5.11551580573653,-5.11524642489927,0.000269380837264244,5.26595650358778e-05
-1.25,19.85,1.94,"high_dependence",5,1.875,-6.37961791129927,-6.3796154452989,2.46600037545619e-06,3.86543584544229e-07
0,19.85,1.94,"high_dependence",5,1.875,-6.35544775960957,-6.35544772508188,3.45276900404201e-08,5.43277064754619e-09
1.25,19.85,1.94,"high_dependence",5,1.875,-5.00773870447982,-5.00773870192971,2.55011567418251e-09,5.09234971046158e-10
2.5,19.85,1.94,"high_dependence",5,1.875,-2.55896589396737,-2.55896589365509,3.12279979652885e-10,1.22033662265319e-10
3.75,19.85,1.94,"high_dependence",5,1.875,0.0656508358986425,0.065650835956836,5.81934500587522e-11,5.81934500587522e-11
-3.75,24.75,1.94,"high_dependence",5,1.875,-3.76873983706545,-3.76576329730552,0.00297653975993395,0.000789797090969179
-2.5,24.75,1.94,"high_dependence",5,1.875,-5.82725167935195,-5.8272151552346,3.6524117351e-05,6.26781188813556e-06
-1.25,24.75,1.94,"high_dependence",5,1.875,-6.94948200686666,-6.94948169027662,3.16590037741094e-07,4.55559187617547e-08
0,24.75,1.94,"high_dependence",5,1.875,-6.8552336464835,-6.85523364050574,5.97775962063452e-09,8.71999399130751e-10
1.25,24.75,1.94,"high_dependence",5,1.875,-5.57357904660296,-5.57357904606404,5.38914690650927e-10,9.66909567702983e-11
2.5,24.75,1.94,"high_dependence",5,1.875,-3.20686849368764,-3.20686849356156,1.2608403210379e-10,3.93168701342049e-11
3.75,24.75,1.94,"high_dependence",5,1.875,-0.453433399344657,-0.453433399305622,3.90354415458205e-11,3.90354415458205e-11
-3.75,0.25,2.4,"high_t_low_q",5,1.875,-0.889810494398001,2.96102484757522,3.85083534197322,3.85083534197322
-2.5,0.25,2.4,"high_t_low_q",5,1.875,-1.80928388193503,1.8753127160454,3.68459659798042,2.03649445770763
-1.25,0.25,2.4,"high_t_low_q",5,1.875,-1.84590436055037,0.935678764174606,2.78158312472498,1.50689449798776
0,0.25,2.4,"high_t_low_q",5,1.875,-0.844319097005346,0.569344689579568,1.41366378658491,1.41366378658491
1.25,0.25,2.4,"high_t_low_q",5,1.875,0.760747725672042,0.995236306268174,0.234488580596132,0.234488580596132
2.5,0.25,2.4,"high_t_low_q",5,1.875,1.73682862077748,1.73817895214131,0.001350331363831,0.000777469548622785
3.75,0.25,2.4,"high_t_low_q",5,1.875,2.49986553918393,2.50114825405259,0.00128271486866538,0.000513113544932547
-3.75,5.15,2.4,"high_dependence",5,1.875,-2.22059598810217,-1.11123568270769,1.10936030539448,0.499577731085874
